epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,2715.59,0.94419,1.01536,1.29095,0.6821,0.779,0.73578,0.53488,1.19551,1.09378,1.49976,0.000622615,0.000622615,0.000622615
59,2760.75,0.96304,0.96767,1.29334,0.74154,0.74114,0.76153,0.54534,1.17075,1.03971,1.48999,0.000608468,0.000608468,0.000608468
60,2805.96,0.93251,0.95534,1.27633,0.7289,0.75822,0.75619,0.5549,1.17309,1.04871,1.46268,0.000594321,0.000594321,0.000594321
61,2851.11,0.89912,0.96418,1.24381,0.80461,0.71262,0.75588,0.5496,1.18171,1.01253,1.49269,0.000580174,0.000580174,0.000580174
62,2896.41,0.92906,0.94835,1.27533,0.74618,0.73497,0.76495,0.54956,1.14381,1.02858,1.45233,0.000566027,0.000566027,0.000566027
63,2941.69,0.89223,0.98826,1.24359,0.69927,0.74338,0.74439,0.54523,1.13284,1.09019,1.45194,0.00055188,0.00055188,0.00055188
64,2986.82,0.895,0.9262,1.2541,0.72535,0.81893,0.78869,0.56237,1.14197,1.0319,1.48762,0.000537733,0.000537733,0.000537733
65,3031.98,0.87546,0.89571,1.23384,0.72869,0.72314,0.73818,0.55925,1.12396,1.06041,1.45051,0.000523586,0.000523586,0.000523586
66,3077.27,0.92034,0.88397,1.26248,0.77845,0.77483,0.77395,0.57699,1.15972,0.99517,1.4707,0.000509438,0.000509438,0.000509438
67,3122.51,0.89394,0.85853,1.25882,0.72632,0.7699,0.76194,0.57138,1.14121,1.08125,1.45581,0.000495291,0.000495291,0.000495291
68,3167.74,0.84762,0.86887,1.22065,0.73807,0.70434,0.75435,0.55943,1.15269,1.12941,1.52534,0.000481144,0.000481144,0.000481144
69,3212.86,0.88105,0.88495,1.24526,0.70597,0.75324,0.77452,0.57148,1.12294,1.03536,1.46635,0.000466997,0.000466997,0.000466997
70,3258.08,0.86471,0.84328,1.21439,0.75128,0.75247,0.78132,0.574,1.12911,1.03689,1.444,0.00045285,0.00045285,0.00045285
71,3303.23,0.8452,0.86033,1.20905,0.74336,0.74493,0.76067,0.56642,1.14722,1.05369,1.48922,0.000438703,0.000438703,0.000438703
72,3348.36,0.84886,0.8513,1.22819,0.6766,0.77496,0.74965,0.56569,1.13627,1.13216,1.47126,0.000424556,0.000424556,0.000424556
73,3393.48,0.83294,0.84429,1.20752,0.73527,0.7511,0.77671,0.58602,1.1421,1.06497,1.44929,0.000410409,0.000410409,0.000410409
74,3439.18,0.83419,0.82216,1.21813,0.80427,0.75602,0.77611,0.56826,1.17983,1.06208,1.48228,0.000396262,0.000396262,0.000396262
75,3492.21,0.82634,0.81996,1.21301,0.75876,0.77009,0.78595,0.58989,1.1437,1.07434,1.45141,0.000382115,0.000382115,0.000382115
76,3538.01,0.79624,0.77093,1.17832,0.72577,0.78914,0.78874,0.58682,1.13547,1.07773,1.47626,0.000367967,0.000367967,0.000367967
