epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,3105.8,0.85799,0.82423,1.29677,0.7169,0.78325,0.78092,0.56555,1.17327,0.98479,1.6348,0.000410409,0.000410409,0.000410409
74,3139.99,0.85747,0.79587,1.29737,0.75775,0.79846,0.79395,0.57761,1.17792,0.91064,1.60284,0.000396262,0.000396262,0.000396262
75,3174.36,0.8543,0.76365,1.2765,0.75779,0.78494,0.79684,0.59653,1.11215,0.94433,1.54225,0.000382115,0.000382115,0.000382115
76,3239.48,0.82806,0.76413,1.25705,0.77597,0.7141,0.77615,0.5846,1.09867,0.96046,1.54205,0.000367967,0.000367967,0.000367967
77,3306.33,0.82673,0.77767,1.2532,0.78466,0.76762,0.80773,0.57443,1.17713,0.94793,1.61569,0.00035382,0.00035382,0.00035382
78,3373.58,0.82869,0.76884,1.26663,0.78189,0.7511,0.80546,0.5879,1.15465,0.9934,1.60649,0.000339673,0.000339673,0.000339673
79,3443.93,0.80179,0.72568,1.23769,0.72036,0.79989,0.79803,0.5711,1.14983,0.96886,1.60898,0.000325526,0.000325526,0.000325526
80,3513.27,0.81075,0.74086,1.25611,0.7593,0.77703,0.79154,0.57595,1.14442,0.91627,1.5986,0.000311379,0.000311379,0.000311379
81,3581.92,0.79045,0.71918,1.24143,0.86845,0.71803,0.82814,0.61363,1.12612,0.86513,1.60741,0.000297232,0.000297232,0.000297232
82,3652.03,0.80532,0.72612,1.2478,0.78423,0.74878,0.79472,0.59607,1.10797,0.92951,1.56092,0.000283085,0.000283085,0.000283085
83,3721.69,0.80382,0.73081,1.23007,0.74034,0.82819,0.81782,0.59238,1.1035,0.88715,1.56163,0.000268938,0.000268938,0.000268938
84,3780.17,0.80205,0.71322,1.23844,0.78418,0.75073,0.80643,0.59933,1.12474,0.88091,1.61046,0.000254791,0.000254791,0.000254791
85,3813.72,0.79359,0.69791,1.22181,0.72943,0.78552,0.79731,0.60015,1.08922,0.90759,1.55784,0.000240644,0.000240644,0.000240644
86,3847.97,0.76333,0.69621,1.2062,0.74895,0.76967,0.79302,0.58853,1.11847,0.9215,1.58228,0.000226497,0.000226497,0.000226497
87,3881.86,0.77225,0.66905,1.21497,0.80404,0.73714,0.79863,0.59574,1.13813,0.89058,1.63917,0.000212349,0.000212349,0.000212349
