epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,1743.15,0.67352,0.9322,1.08032,0.68653,0.81648,0.81002,0.66636,0.7262,0.7755,1.08479,0.000650909,0.000650909,0.000650909
57,1771.18,0.66559,0.8975,1.07865,0.80558,0.68708,0.8033,0.64852,0.74254,0.78155,1.10871,0.000636762,0.000636762,0.000636762
58,1799.66,0.69243,0.89708,1.08307,0.78676,0.71002,0.78278,0.63333,0.74312,0.81392,1.10987,0.000622615,0.000622615,0.000622615
59,1828.21,0.70372,0.95458,1.1026,0.75765,0.76065,0.7931,0.64564,0.7416,0.82318,1.10569,0.000608468,0.000608468,0.000608468
60,1856.28,0.68235,0.90944,1.08072,0.72818,0.74409,0.78927,0.65785,0.7102,0.80001,1.08764,0.000594321,0.000594321,0.000594321
61,1884.21,0.66963,0.91316,1.07865,0.74505,0.75221,0.80991,0.67336,0.70836,0.7326,1.06487,0.000580174,0.000580174,0.000580174
62,1912.52,0.6537,0.89018,1.0655,0.75169,0.75481,0.79908,0.6683,0.7005,0.75561,1.07022,0.000566027,0.000566027,0.000566027
63,1941,0.66002,0.87019,1.07502,0.72694,0.76737,0.78033,0.65046,0.70375,0.80313,1.07586,0.00055188,0.00055188,0.00055188
64,1969.43,0.66081,0.89799,1.08888,0.70574,0.76324,0.77171,0.64864,0.69831,0.80313,1.05798,0.000537733,0.000537733,0.000537733
65,1997.41,0.67079,0.90469,1.08087,0.76857,0.71398,0.79936,0.66437,0.68777,0.76766,1.05556,0.000523586,0.000523586,0.000523586
66,2025.48,0.66071,0.85411,1.07076,0.74839,0.77198,0.81427,0.66405,0.72076,0.76181,1.07332,0.000509438,0.000509438,0.000509438
67,2053.65,0.63762,0.85684,1.06339,0.81107,0.74193,0.82988,0.68606,0.6974,0.70844,1.06178,0.000495291,0.000495291,0.000495291
68,2082.03,0.64014,0.87379,1.05387,0.83712,0.75298,0.82334,0.67457,0.71861,0.75573,1.06524,0.000481144,0.000481144,0.000481144
69,2110.49,0.64241,0.80397,1.0518,0.77057,0.73979,0.80816,0.673,0.70156,0.75123,1.05869,0.000466997,0.000466997,0.000466997
70,2156.54,0.63307,0.85859,1.0571,0.66731,0.78478,0.78564,0.64421,0.71369,0.80666,1.0681,0.00045285,0.00045285,0.00045285
71,2207.48,0.6228,0.7858,1.04794,0.72358,0.7784,0.80184,0.67282,0.6712,0.76279,1.03298,0.000438703,0.000438703,0.000438703
72,2259.28,0.62582,0.81429,1.05108,0.69739,0.80664,0.78983,0.6605,0.68679,0.77502,1.04334,0.000424556,0.000424556,0.000424556
73,2303.73,0.63156,0.82951,1.05045,0.73058,0.78996,0.80417,0.67344,0.67429,0.73464,1.04134,0.000410409,0.000410409,0.000410409
74,2332.19,0.62407,0.8282,1.05807,0.73748,0.74841,0.79627,0.67068,0.66072,0.77577,1.035,0.000396262,0.000396262,0.000396262
75,2360.23,0.61138,0.7757,1.04702,0.73358,0.73713,0.80102,0.66876,0.68972,0.79036,1.05619,0.000382115,0.000382115,0.000382115
76,2393.65,0.62059,0.77906,1.05104,0.75749,0.77489,0.81688,0.6905,0.68067,0.72688,1.06971,0.000367967,0.000367967,0.000367967
77,2445.51,0.5988,0.79357,1.03969,0.77065,0.72145,0.78731,0.66321,0.68449,0.79431,1.05209,0.00035382,0.00035382,0.00035382
78,2497.33,0.58913,0.77095,1.03178,0.80664,0.72271,0.81141,0.67752,0.69339,0.783,1.06689,0.000339673,0.000339673,0.000339673
79,2549.58,0.60235,0.77213,1.03871,0.73247,0.75086,0.79208,0.66628,0.67811,0.84678,1.04273,0.000325526,0.000325526,0.000325526
